POSTDATE,QUOTE,AUTHOR,
06/08/2020,Watch your thoughts; they become words. Watch your words; they become actions. Watch your actions; they become habits. Watch your habits; they become character. Watch your character; it becomes your destiny.,Lao-Tzu  
06/09/2020,"If you can't fly then run, If you can't run then walk, If you can't walk then crawl, but whatever you do you have to keep moving forward.", Martin Luther King Jr.  
06/10/2020,Winners don't Quit.Quitters Don't win., Vince Lombardi  
06/11/2020,Be kind whenever possible. It is always possible., Dalai Lama  
06/12/2020,"Those who want to succeed will find a way, those who don't will find an excuse!", Leo Aguila
06/13/2020,No great man ever complains of want of opportunities., Ralph Waldo Emerson  
06/14/2020,"Your words will tell others what you think. Your actions will tell them what you believe.
06/14/2020,If an egg breaks by external force life ends.If by internal force life begins.",Unknown
06/15/2020,Coming together is a beginning. Keeping together is progress. Working together is success., Henry Ford  
06/16/2020,Anyone who doesn't take truth seriously in small matters cannot be trusted in large ones either., Albert Einstein  
06/17/2020,The most important single ingredient in the formula of success is knowing how to get along with people., Theodore Roosevelt  
06/18/2020,When Mother is Happy Family is Happy; When Family is Happy Nation is Happy., A.P.J Abdul Kalam  
06/19/2020,"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.", Maya Angelou  
06/20/2020,I don't measure a mans success by how high he climbs but how high he bounces when he hits bottom., George S. Patton
06/21/2020,The weak can never forgive. Forgiveness is the attribute of the strong., Mahathma Gandhi  
06/22/2020,"If you want to be happy, be.", Leo Tolstoy  
06/23/2020,"Happiness is when what you think, what you say, and what you do are in harmony.", Mahatma Gandhi  
06/24/2020,Happiness is nothing more than good health and a bad memory., Albert Schweitzer  
06/25/2020,"Nothing is impossible to a willing heart.
06/25/2020,Life without love is like a tree without blossom and fruit", Kahlil Gibran  
06/26/2020,Peace begins with a smile., Mother Teresa  
06/27/2020,"Nothing will work unless you do, Maya Angelou  
06/27/2020,The time you enjoy wasting is not wasted time., Bertrand Russell  
06/28/2020,"No one can make you feel inferior without your consent, Eleanor Roosevelt  
06/28/2020,Alone we can do so little; together we can do so much.", Helen Keller  
06/29/2020,"Keep away from people who belittle your ambitions. Small people always do that, but the really great, make you feel that you too can become great.", Mark Twain  
06/30/2020,"Always forgive your enemies, nothing annoys them so much.", Oscar Wilde  
07/01/2020,"We may encounter many defeats but we must not be defeated, Maya Angelou  
07/01/2020,"He who lives by the sword,dies by the sword.",Unknwon
07/02/2020,There never was a good war or a bad peace., Benjamin Franklin  
07/03/2020,"Success is not final, failure is not fatal. It is the courage to continue that counts", Winston Churchill  
07/03/2020,Speak softly and carry a big stick; you will go far.", Theodore Roosevelt  
07/04/2020,"Early to bed and early to rise, makes a man healthy, wealthy, and wise.", Benjamin Franklin  
07/05/2020,"Ask not what your country can do for you,ask what you can do for your country.", John F. Kennedy  
07/06/2020,Wealth is lost nothing is lost Health is lost something is lost If character is lost everything is lost., Billy Graham  
07/07/2020,"You can fool some of the people all of the time, and all of the people some of the time, but you can not fool all of the people all of the time."
07/07/2020,"Focus on your Strengths, and manage your weakness.",Unknwon
07/08/2020,"Vision without action is a daydream. Action without vision is a nightmare.
07/08/2020,God may not come when you want Him to", but He'll always be on time.
07/09/2020,There is more to life than increasing its speed., Mahatma Gandhi  
07/10/2020,I don't pay good wages because I have a lot of money; I have a lot of money because I pay good wages., Robert Bosch
07/11/2020,Do not spoil what you have by desiring what you have not; remember that what you now have was once among the things you only hoped for., Epicurus  
07/12/2020,"Give, and it shall be given to you. For whatever measure you deal out to others, it will be dealt to you in return.", Bible  
07/13/2020,"Love all, trust a few, do wrong to none.", William Shakespeare  
07/14/2020,Don't try to be different.Just be good. To be good is different enough., Arthur Freed
07/15/2020,Respect yourself and others will respect you., Confucius  
07/16/2020,A Journey of a Thousand miles begins with a Single Step., Proverbs
07/17/2020,"Worrying does not take away tomorrow's Troubles, it takes away today's Peace.
07/17/2020,We are judged by what we finish", not by what we start.
07/18/2020,"When you want to succeed as bad as you wanna breathe, then you will be successful.", Eric Thomas  
07/19/2020,"When you were born you were crying and everyone else was smiling. Live your life so at the end, your're the one who is smiling and everyone else is crying.", Ralph Waldo Emerson  
07/20/2020,"Whatever you do,strive to do it so well that no man living and no man dead and no man yet to be born could do it any better.", Dr. Benjamin E. Mays
07/21/2020,"You block your dreams when you allow your fear to grow bigger than your faith
07/21/2020,Courage doesn't always roar. Sometimes courage is the little voice at the end of the day that says I'll try again tomorrow.",Mary Anne Radmacher
07/22/2020,80 percent of results will come from just 20 percent of the action., Pareto
07/23/2020,Do not let what you cannot do interfere with what you can do.,John Wooden  
07/24/2020,He will always be a slave who does not know how to live upon a little., Horace
07/25/2020,"The gem cannot be polished without friction, nor man perfected without trials.", Chinese proverb
07/26/2020,"Nobody can go back and start a new beginning, but anyone can start today and make a new ending.",Maria Robinson
07/27/2020,A pint of sweat saves a gallon of blood., General George S. Patton
07/28/2020,"If you tell the truth, you don't have to remember anything.", Mark Twain  
07/29/2020,"You can do anything, but not everything.", David Allen
07/30/2020,Success is more permanent when you achieve it without destroying your principles., Walter Cronkite
07/31/2020,"In times of great stress or adversity, it's always best to keep busy, to plow your anger and your energy into something positive.", Lee Iacocca  
08/01/2020,Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful.,John Wooden  
08/02/2020,"Once you learn to quit, it becomes a habit.",Vince Lombardi  
08/03/2020,What is not started today is never finished tomorrow.,Goethe  
08/04/2020,"Recommend to your children virtue; that alone can make them happy, not gold.", Beethoven
08/05/2020,Nothing builds self-esteem and self-confidence like accomplishment.,Thomas Carlyle  
08/06/2020,Thinking will not overcome fear but action will., W.Clement Stone
08/07/2020,Your children are not your children. They are the sons and daughters of Life's longing for itself. They came through you but not from you and though they are with you yet they belong not to you., Khalil Gibran  
08/08/2020,"The greatest glory in living lies not in never failing, but in rising every time we fail.", Nelson Mandela  
08/09/2020,"We must accept finite disappointment, but we must never lose infinite hope.", Martin Luther King  
08/10/2020,You can never cross the ocean until you have the courage to lose sight of the shore., Christopher Columbus  
08/11/2020,Big jobs usually go to the men who prove their ability to outgrow small ones., Ralph Waldo Emerson  
08/12/2020,Life shrinks or expands in proportion to one's courage., Anais Nin  
08/13/2020,Tomorrow belongs to the people who prepare for it today., African Proverb
08/14/2020,Action may not always bring happiness; but there is no happiness without action., Benjamin Disraeli
08/15/2020,"If something is wrong, fix it if you can. But train yourself not to worry. Worry never fixes anything.", Ernest Hemingway  
08/16/2020,Your positive action combined with positive thinking results in success., Shiv Khera  
08/17/2020,Never spend your money before you have earned it., Thomas Jefferson  
08/18/2020,"The function of leadership is to produce more leaders, not more followers.", Ralph Nader  
08/07/2020,The best way of learning about anything is by doing.", Richard Branson  
08/19/2020,"Climb mountains not so the world can see you but so you can see the world.
08/17/2020,Whoever is careless with the truth in small matters cannot be trusted with important matters", Albert Einstein  
08/20/2020,The smallest of actions is always better than the noblest of intentions., Robin S. Sharma
08/21/2020,Anyone who does not believe in miracles is not a realist., Audrey Hepburn  
08/22/2020,Think big thoughts but relish small pleasures., H. Jackson Brown Jr.  
08/23/2020,The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates. The great teacher inspires.", William Arthur Ward
08/24/2020,"If you are right then there is no need to get angry, and if you are wrong then you don't have any right to get angry.",Unknown
03/07/2020,"Don't take yourself so seriously. No one else does.",Unknwon
08/25/2020,Formal education will make you a living; self-education will make you a fortune., Jim Rohn  
08/26/2020,Identify your problems but give your power and energy to solutions., Tony Robbins  
08/27/2020,Give me six hours to chop down a tree and I will spend the first four sharpening the axe., Abraham Lincoln  
08/28/2020,"If you spend too much time thinking about a thing, you'll never get it done.", Bruce Lee  
08/29/2020,Build a dream and the dream will build you., Robert H. Schuller
08/30/2020,"Gold medals aren't really made of gold. They're made of sweat, determination, and a hard-to-find alloy called guts.", Dan Gable  
08/31/2020,The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails., William Arthur Ward
09/01/2020,"Technology is a great leveler, second only to death.", Sam Pitroda  
09/02/2020,Don't let the miracles that haven't happened yet blind you to the ones that already have!, Bruce Van Horn  
09/03/2020,A minute of thought is greater than an hour of talk., John C. Maxwell  
09/04/2020,"Success is a journey, not a destination. The doing is often more important than the outcome.", Arthur Ashe
09/05/2020,"As long as your going to be thinking anyway, think big.", Donald Trump  
09/06/2020,"Never feel shame for trying and failing, for he who never failed is he who never tried.", Og Mandino  
09/07/2020,God gave us the gift of life; it is up to us to give ourselves the gift of living well., Voltaire
09/08/2020,Seeking happiness in material things is a sure way of being unhappy., Pope Francis  
09/09/2020,Pay no attention to what the critics say. A statue has never been erected in honor of a critic., Jean Sibelius
09/10/2020,It does not matter how slowly you go so long as you do not stop., Confucius  
09/11/2020,"The secret of life, though, is to fall seven times and to get up eight times.", Paulo Coelho  
09/12/2020,Let us not pray to be sheltered from dangers but to be fearless when facing them., Rabindranath Tagore  
09/13/2020,Never make someone a priority when all you are to them is an option., Maya Angelou  
